ts,level,relevant_count,tier3_count,failed_count,sources_scanned
2026-08-18T15:57:23.351911+00:00,QUIET,0,0,1,138
2026-08-18T19:50:02.137238+00:00,WATCH,1,0,1,138
2026-08-18T23:48:42.128755+00:00,QUIET,0,0,1,138
2026-08-19T04:09:53.686197+00:00,WATCH,1,0,1,138
2026-08-19T08:06:00.649273+00:00,QUIET,0,0,1,138
2026-08-19T11:49:08.017099+00:00,QUIET,0,0,1,138
2026-08-19T15:56:59.173942+00:00,QUIET,0,0,1,138
2026-08-19T19:49:02.728752+00:00,QUIET,0,0,1,138
2026-08-19T23:49:05.812650+00:00,QUIET,0,0,1,138
2026-08-20T04:09:39.690433+00:00,WATCH,1,0,1,138
2026-08-20T08:08:30.404117+00:00,WATCH,1,0,1,138
2026-08-20T11:51:32.771931+00:00,QUIET,0,0,1,138
2026-08-20T15:59:25.845565+00:00,QUIET,0,0,1,138
2026-08-20T19:54:32.317244+00:00,QUIET,0,0,1,140
2026-08-20T23:51:51.593164+00:00,QUIET,0,0,1,140
2026-08-21T04:13:22.471062+00:00,WATCH,1,0,1,140
2026-08-21T04:53:32.974361+00:00,QUIET,0,0,0,140
2026-08-21T08:09:32.205559+00:00,QUIET,0,0,0,140
2026-08-21T10:34:00.818122+00:00,QUIET,0,0,0,140
2026-08-21T11:49:37.870064+00:00,QUIET,0,0,0,140
2026-08-21T12:36:18.657453+00:00,QUIET,0,0,1,151
2026-08-21T13:23:40.677434+00:00,QUIET,0,0,0,151
2026-08-21T15:38:29.349061+00:00,WATCH,1,0,0,152
2026-08-21T15:59:56.099495+00:00,QUIET,0,0,0,152
2026-08-21T18:06:30.321738+00:00,QUIET,0,0,0,152
2026-08-21T19:44:58.299064+00:00,QUIET,0,0,0,152
2026-08-22T03:23:23.931437+00:00,QUIET,0,0,1,152
2026-08-22T04:06:16.494750+00:00,WATCH,1,0,0,152
2026-08-22T07:58:39.684294+00:00,QUIET,0,0,0,152
2026-08-22T11:47:50.975834+00:00,QUIET,0,0,1,152
2026-08-22T15:48:32.950842+00:00,QUIET,0,0,0,152
2026-08-22T19:47:51.754074+00:00,QUIET,0,0,1,152
2026-08-22T23:49:20.461429+00:00,QUIET,0,0,0,152
2026-08-23T04:15:08.697838+00:00,QUIET,0,0,1,152
2026-08-23T08:01:14.895668+00:00,QUIET,0,0,0,152
2026-08-23T11:46:26.885281+00:00,QUIET,0,0,0,152
2026-08-23T15:49:46.249015+00:00,QUIET,0,0,1,152
2026-08-23T19:47:40.850038+00:00,QUIET,0,0,0,152
2026-08-23T23:49:15.895740+00:00,QUIET,0,0,0,152
2026-08-24T04:19:49.629764+00:00,QUIET,0,0,1,152
2026-08-24T08:20:06.133392+00:00,QUIET,0,0,0,152
2026-08-24T08:50:13.752268+00:00,QUIET,0,0,0,152
2026-08-24T11:54:24.967630+00:00,QUIET,0,0,0,152
2026-08-24T16:08:12.471793+00:00,QUIET,0,1,1,152
2026-08-24T19:55:10.578325+00:00,QUIET,0,0,0,152
2026-08-24T23:49:28.280923+00:00,WATCH,1,0,0,152
2026-08-25T04:12:55.915089+00:00,QUIET,0,0,1,152
2026-08-25T08:12:39.694799+00:00,QUIET,0,0,0,152
2026-08-25T11:54:39.711321+00:00,QUIET,0,0,0,152
2026-08-25T16:14:08.047251+00:00,QUIET,0,0,1,152
